solve    find-graph-path     DFS

24,  24
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, 2, 9, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2.3    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 4, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, 2.7, 9.5, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 5, 1,2    ,5,6,7  ,8,4, 3,  3, b, b, 5
1,2    ,b,6,7  ,8,4, 3,  3, b, b, 4, 1,2    ,b,6,7  ,8,4, 3,  3, 2, 9, 5
0,    0
23   ,   23

